uf;localidade;CEP;expr.;rodo;tarifa;frap;distribuidor;redespacho
AC;ACRELANDIA;69945000; 10; 23;Interior;Nao;CO RIO BRANCO 01;
AC;ASSIS BRASIL;69935000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;BRASILEIA;69932000; 06; 19;Interior;Nao;CO RIO BRANCO 01;
AC;CRUZEIRO DO SUL;69980000; 07; 25;Interior;Nao;CO RIO BRANCO 01;FLUVIAL
AC;EPITACIOLANDIA;69934000; 10; 23;Interior;Nao;CO RIO BRANCO 01;
AC;FEIJO;69960000; 12; 25;Interior;Nao;CO RIO BRANCO 01;FLUVIAL
AC;JORDAO;69975000; 15; 21;Interior;Nao;CO RIO BRANCO 01;
AC;MANCIO LIMA;69990000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;MANOEL URBANO;69950000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;MARECHAL THAUMATURGO;69983000; 15; 21;Interior;Nao;CO RIO BRANCO 01;
AC;PLACIDO DE CASTRO;69928000; 06; 19;Interior;Nao;CO RIO BRANCO 01;
AC;PORTO ACRE;69927000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;PORTO WALTER;69982000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;RIO BRANCO;69923000 a 69923999; 06; 19;Interior;Nao;CO RIO BRANCO 01;
AC;RIO BRANCO;69922000 a 69922999; 06; 19;Interior;Nao;CO RIO BRANCO 01;
AC;RIO BRANCO;69900001 a 69921999; 02; 15;Capital;Sim;CO RIO BRANCO 01;
AC;RODRIGUES ALVES;69985000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;SANTA ROSA DO PURUS;69955000; 15; 21;Interior;Nao;CO RIO BRANCO 01;
AC;SENA MADUREIRA;69940000; 06; 19;Interior;Nao;CO RIO BRANCO 01;
AC;SENADOR GUIOMARD;69925000; 06; 19;Interior;Nao;CO RIO BRANCO 01;
AC;TARAUACA;69970000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;XAPURI;69930000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AL;AGUA BRANCA;57490000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;ANADIA;57660000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;ARAPIRACA;57300001 a 57316999; 03; 09;Capital;Sim;CO ARAPIRACA 01;
AL;ATALAIA;57690000; 08; 10;Interior;Sim;CO MACEIO 01;
AL;BARRA DE SANTO ANTONIO;57925000; 04; 10;Interior;Nao;CO MACEIO 01;
AL;BARRA DE SAO MIGUEL;57180000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;BATALHA;57420000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;BELEM;57630000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;BELO MONTE;57435000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;BOCA DA MATA;57680000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;BRANQUINHA;57830000; 04; 10;Interior;Sim;CO MACEIO 01;
AL;CACIMBINHAS;57570000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;CAJUEIRO;57770000; 03; 10;Interior;Sim;CO MACEIO 01;
AL;CAMPESTRE;57968000; 05; 13;Interior;Nao;CO MACEIO 01;
AL;CAMPO ALEGRE;57250000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;CAMPO GRANDE;57350000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;CANAPI;57530000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;CAPELA;57780000; 08; 10;Interior;Nao;CO MACEIO 01;
AL;CARNEIROS;57535000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;CHA PRETA;57760000; 04; 10;Interior;Nao;CO MACEIO 01;
AL;COITE DO NOIA;57325000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;COLONIA LEOPOLDINA;57975000; 04; 13;Interior;Nao;CO MACEIO 01;
AL;COQUEIRO SECO;57140000; 04; 10;Interior;Nao;CO MACEIO 01;
AL;CORURIPE;57230000; 03; 10;Interior;Sim;CO MACEIO 01;
AL;CRAIBAS;57320000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;DELMIRO GOUVEIA;57480000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;DOIS RIACHOS;57560000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;ESTRELA DE ALAGOAS;57625000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;FEIRA GRANDE;57340000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;FELIZ DESERTO;57220000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;FLEXEIRAS;57995000; 05; 12;Interior;Nao;CO MACEIO 01;
AL;GIRAU DO PONCIANO;57360000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;IBATEGUARA;57890000; 08; 13;Interior;Nao;CO MACEIO 01;
AL;IGACI;57620000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;IGREJA NOVA;57280000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;INHAPI;57545000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;JACARE DOS HOMENS;57430000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;JACUIPE;57960000; 04; 13;Interior;Nao;CO MACEIO 01;
AL;JAPARATINGA;57950000; 04; 12;Interior;Nao;CO MACEIO 01;
AL;JARAMATAIA;57425000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;JEQUIA DA PRAIA;57244000; 03; 10;Interior;Sim;CO MACEIO 01;
AL;JOAQUIM GOMES;57980000; 04; 12;Interior;Nao;CO MACEIO 01;
AL;JUNDIA;57965000; 04; 13;Interior;Nao;CO MACEIO 01;
AL;JUNQUEIRO;57270000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;LAGOA DA CANOA;57330000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;LIMOEIRO DE ANADIA;57260000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;MACEIO;57000001 a 57099999; 02; 08;Capital;Sim;CO MACEIO 01;
AL;MAJOR ISIDORO;57580000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;MAR VERMELHO;57730000; 04; 11;Interior;Nao;CO MACEIO 01;
AL;MARAGOGI;57955000; 08; 12;Interior;Nao;CO MACEIO 01;
AL;MARAVILHA;57520000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;MARECHAL DEODORO;57160000; 03; 10;Interior;Sim;CO MACEIO 01;
AL;MARIBONDO;57670000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;MATA GRANDE;57540000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;MATRIZ DE CAMARAGIBE;57910000; 08; 10;Interior;Nao;CO MACEIO 01;
AL;MESSIAS;57990000; 04; 10;Interior;Sim;CO MACEIO 01;
AL;MINADOR DO NEGRAO;57615000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;MONTEIROPOLIS;57440000; 04; 10;Interior;Sim;CO ARAPIRACA 01;
AL;MURICI;57820000; 03; 10;Interior;Sim;CO MACEIO 01;
AL;NOVO LINO;57970000; 04; 13;Interior;Nao;CO MACEIO 01;
AL;OLHO DAGUA DAS FLORES;57442000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;OLHO DAGUA DO CASADO;57470000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;OLHO DAGUA GRANDE;57390000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;OLIVENCA;57550000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;OURO BRANCO;57525000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;PALESTINA;57410000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;PALMEIRA DOS INDIOS;57600000 a 57609999; 04; 10;Interior;Sim;CO ARAPIRACA 01;
AL;PAO DE ACUCAR;57400000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;PARICONHA;57475000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;PARIPUEIRA;57935000; 04; 10;Interior;Sim;CO MACEIO 01;
AL;PASSO DE CAMARAGIBE;57930000; 04; 10;Interior;Nao;CO MACEIO 01;
AL;PAULO JACINTO;57740000; 04; 12;Interior;Nao;CO MACEIO 01;
AL;PENEDO;57200000; 04; 10;Interior;Sim;CO ARAPIRACA 01;
AL;PIACABUCU;57210000; 05; 11;Interior;Nao;CO ARAPIRACA 01;
AL;PILAR;57150000; 03; 10;Interior;Sim;CO MACEIO 01;
AL;PINDOBA;57720000; 05; 10;Interior;Nao;CO MACEIO 01;
AL;PIRANHAS;57460000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;POCO DAS TRINCHEIRAS;57510000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;PORTO CALVO;57900000; 08; 10;Interior;Nao;CO MACEIO 01;
AL;PORTO DE PEDRAS;57945000; 04; 11;Interior;Nao;CO MACEIO 01;
AL;PORTO REAL DO COLEGIO;57290000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;QUEBRANGULO;57750000; 08; 13;Interior;Nao;CO MACEIO 01;
AL;RIO LARGO;57100000; 04; 10;Interior;Sim;CO MACEIO 01;
AL;ROTEIRO;57246000; 04; 13;Interior;Nao;CO MACEIO 01;
AL;SANTA LUZIA DO NORTE;57130000; 04; 09;Interior;Sim;CO MACEIO 01;
AL;SANTANA DO IPANEMA;57500000; 04; 10;Interior;Sim;CO ARAPIRACA 01;
AL;SANTANA DO MUNDAU;57840000; 08; 11;Interior;Nao;CO MACEIO 01;
AL;SAO BRAS;57380000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;SAO JOSE DA LAJE;57860000; 08; 11;Interior;Nao;CO MACEIO 01;
AL;SAO JOSE DA TAPERA;57445000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;SAO LUIS DO QUITUNDE;57920000; 04; 10;Interior;Nao;CO MACEIO 01;
AL;SAO MIGUEL DOS CAMPOS;57240000; 04; 10;Interior;Sim;CO ARAPIRACA 01;
AL;SAO MIGUEL DOS MILAGRES;57940000; 04; 10;Interior;Nao;CO MACEIO 01;
AL;SAO SEBASTIAO;57275000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;SATUBA;57120000; 04; 09;Interior;Sim;CO MACEIO 01;
AL;SENADOR RUI PALMEIRA;57515000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;TANQUE DARCA;57635000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;TAQUARANA;57640000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;TEOTONIO VILELA;57265000; 04; 10;Interior;Sim;CO ARAPIRACA 01;
AL;TRAIPU;57370000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
AL;UNIAO DOS PALMARES;57800000; 08; 11;Interior;Nao;CO MACEIO 01;
AL;VICOSA;57700000; 08; 11;Interior;Nao;CO MACEIO 01;
AM;ALVARAES;69475000; 16; 31;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;AMATURA;69620000; 16; 36;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;ANAMA;69445000; 10; 30;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;ANORI;69440000; 11; 31;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;APUI;69265000; 13; 33;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;ATALAIA DO NORTE;69650000; 15; 35;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;AUTAZES;69240000; 09; 29;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;BARCELOS;69700000; 12; 32;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;BARREIRINHA;69160000; 10; 34;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;BENJAMIN CONSTANT;69630000; 10; 30;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;BERURI;69430000; 10; 30;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;BOA VISTA DO RAMOS;69195000; 12; 27;Interior;Nao;CO ITACOATIARA 01;FLUVIAL
AM;BOCA DO ACRE;69850000; 05; 23;Interior;Nao;CO RIO BRANCO 01;FLUVIAL
AM;BORBA;69200000; 10; 30;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;CAAPIRANGA;69410000; 10; 30;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;CANUTAMA;69820000; 15; 35;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;CARAUARI;69500000; 14; 34;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;CAREIRO;69250000; 08; 28;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;CAREIRO DA VARZEA;69255000; 09; 27;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;COARI;69460000; 08; 28;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;CODAJAS;69450000; 10; 30;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;EIRUNEPE;69880000; 14; 34;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;ENVIRA;69870000; 15; 35;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;FONTE BOA;69670000; 10; 30;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;GUAJARA;69895000; 10; 30;Interior;Nao;CO RIO BRANCO 01;FLUVIAL
AM;HUMAITA;69800000; 14; 34;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;IPIXUNA;69890000; 12; 32;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;ITACOATIARA;69100001 a 69109999; 05; 22;Capital;Sim;CO ITACOATIARA 01;
AM;ITAMARATI;69510000; 15; 35;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;ITAPIRANGA;69120000; 07; 25;Interior;Nao;CO ITACOATIARA 01;FLUVIAL
AM;JAPURA;69495000; 13; 35;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;JURUA;69520000; 13; 33;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;JUTAI;69660000; 14; 34;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;LABREA;69830000; 15; 35;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;MANACAPURU;69400001 a 69409999; 09; 29;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;MANAQUIRI;69435000; 10; 30;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;MANAUS;69060000 a 69099999; 02; 20;Capital;Sim;FL JAD MANAUS;
AM;MANAUS;69000001 a 69059999; 02; 20;Capital;Sim;FL JAD MANAUS;
AM;MANICORE;69280000; 10; 30;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;MARAA;69490000; 13; 33;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;MAUES;69190000; 12; 27;Interior;Nao;CO ITACOATIARA 01;FLUVIAL
AM;NHAMUNDA;69140000; 09; 29;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;NOVA OLINDA DO NORTE;69230000; 07; 27;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;NOVO AIRAO;69730000; 07; 27;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;NOVO ARIPUANA;69260000; 09; 29;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;NOVO REMANSO;69112000; 05; 22;Interior;Nao;CO ITACOATIARA 01;
AM;PARINTINS;69150000 a 69157999; 06; 31;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;PAUINI;69860000; 15; 35;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;PRESIDENTE FIGUEIREDO;69735000; 05; 23;Interior;Nao;FL JAD MANAUS;
AM;RIO PRETO DA EVA;69117000; 03; 21;Interior;Nao;FL JAD MANAUS;
AM;SANTA ISABEL DO RIO NEGRO;69740000; 10; 30;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;SANTO ANTONIO DO ICA;69680000; 16; 33;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;SAO GABRIEL DA CACHOEIRA;69750000; 14; 34;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;SAO PAULO DE OLIVENCA;69600000; 13; 33;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;SAO SEBASTIAO DO UATUMA;69135000; 12; 27;Interior;Nao;CO ITACOATIARA 01;FLUVIAL
AM;SILVES;69114000; 12; 27;Interior;Nao;CO ITACOATIARA 01;FLUVIAL
AM;TABATINGA;69640000; 09; 29;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;TAPAUA;69480000; 16; 36;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;TEFE;69470000; 11; 31;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;TONANTINS;69685000; 12; 32;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;UARINI;69485000; 11; 31;Interior;Nao;FL JAD MANAUS;FLUVIAL
AM;URUCARA;69130000; 12; 27;Interior;Nao;CO ITACOATIARA 01;FLUVIAL
AM;URUCURITUBA;69180000; 12; 27;Interior;Nao;CO ITACOATIARA 01;FLUVIAL
AM;VILA PITINGA;69737000; 07; 27;Interior;Nao;FL JAD MANAUS;
AP;AMAPA;68950000; 15; 30;Interior;Nao;CO MACAPA 02;
AP;AMAPARI;68945000; 10; 25;Interior;Nao;CO MACAPA 02;
AP;CALCOENE;68960000; 10; 25;Interior;Nao;CO MACAPA 02;
AP;CUTIAS;68973000; 15; 30;Interior;Nao;CO MACAPA 02;
AP;FERREIRA GOMES;68915000; 10; 25;Interior;Nao;CO MACAPA 02;
AP;ITAUBAL;68976000; 10; 25;Interior;Nao;CO MACAPA 02;
AP;LARANJAL DO JARI;68920000; 10; 25;Interior;Nao;CO MACAPA 02;
AP;MACAPA;68900001 a 68911999; 03; 18;Capital;Sim;CO MACAPA 02;
AP;MAZAGAO;68940000; 10; 25;Interior;Nao;CO MACAPA 02;
AP;OIAPOQUE;68980000; 15; 30;Interior;Nao;CO MACAPA 02;
AP;PORTO GRANDE;68997000; 08; 23;Interior;Nao;CO MACAPA 02;
AP;PRACUUBA;68918000; 10; 30;Interior;Nao;CO MACAPA 02;
AP;SANTANA;68925000 a 68939999; 03; 18;Interior;Sim;CO MACAPA 02;
AP;SERRA DO NAVIO;68948000; 10; 30;Interior;Nao;CO MACAPA 02;
AP;TARTARUGALZINHO;68990000; 07; 27;Interior;Nao;CO MACAPA 02;
AP;VITORIA DO JARI;68924000; 11; 30;Interior;Nao;CO MACAPA 02;
BA;ABAIRA;46690000; 10; 15;Interior;Nao;CO GUANAMBI 01;
BA;ABARE;48680000; 09; 13;Interior;Nao;FL JAD SALVADOR;
BA;ABRANTES;42840000; 03; 08;Interior;Sim;FL JAD SALVADOR;
BA;ACAJUTIBA;48360000; 08; 12;Interior;Nao;FL JAD SALVADOR;
BA;ADUSTINA;48435000; 10; 14;Interior;Nao;FL JAD SALVADOR;
BA;AGUA FRIA;48170000; 08; 12;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;AIQUARA;45220000; 10; 15;Interior;Nao;CO GUANAMBI 01;
BA;ALAGOINHAS;48000001 a 48099999; 03; 08;Interior;Sim;CO CRUZ DAS ALMAS 01;
BA;ALCOBACA;45990000; 04; 09;Interior;Sim;CO TEIXEIRA DE FREITAS 01;
BA;ALMADINA;45640000; 04; 08;Interior;Nao;CO ITABUNA 01;
BA;AMARGOSA;45300000; 05; 09;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;AMELIA RODRIGUES;44230000; 03; 08;Interior;Sim;CO CRUZ DAS ALMAS 01;
BA;AMERICA DOURADA;44910000; 08; 12;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;ANAGE;45180000; 05; 09;Interior;Nao;CO VITORIA DA CONQUISTA 01;
BA;ANDARAI;46830000; 09; 13;Interior;Nao;FL JAD SALVADOR;
BA;ANDORINHA;48990000; 05; 09;Interior;Nao;FL JAD SALVADOR;
BA;ANGICAL;47960000; 08; 12;Interior;Nao;CO BARREIRAS 01;
BA;ANGUERA;44670000; 08; 12;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;ANTAS;48420000; 08; 12;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;ANTONIO CARDOSO;44180000; 08; 12;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;ANTONIO GONCALVES;44780000; 09; 13;Interior;Nao;FL JAD SALVADOR;
BA;APORA;48350000; 05; 09;Interior;Nao;FL JAD SALVADOR;
BA;APUAREMA;45355000; 10; 15;Interior;Nao;CO GUANAMBI 01;
BA;ARACAS;48108000; 09; 10;Interior;Nao;FL JAD SALVADOR;
BA;ARACATU;46130000; 05; 09;Interior;Nao;CO VITORIA DA CONQUISTA 01;
BA;ARACI;48760000; 08; 12;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;ARAMARI;48130000; 09; 10;Interior;Nao;FL JAD SALVADOR;
BA;ARATACA;45695000; 04; 08;Interior;Nao;CO ITABUNA 01;
BA;ARATUIPE;44490000; 08; 12;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;AREIAS;42847000; 03; 08;Interior;Sim;FL JAD SALVADOR;
BA;AREMBEPE;42835000; 03; 08;Interior;Sim;FL JAD SALVADOR;
BA;AURELINO LEAL;45675000; 04; 08;Interior;Nao;CO ITABUNA 01;
BA;BAIANOPOLIS;47830000; 08; 12;Interior;Nao;CO BARREIRAS 01;
BA;BAIXA GRANDE;44620000; 08; 12;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;BANZAE;48405000; 09; 10;Interior;Nao;FL JAD SALVADOR;
BA;BARRA;47100000; 12; 17;Interior;Nao;CO BARREIRAS 01;
BA;BARRA DA ESTIVA;46650000; 07; 12;Interior;Nao;CO GUANAMBI 01;
BA;BARRA DO CHOCA;45120000; 09; 13;Interior;Nao;CO VITORIA DA CONQUISTA 01;
BA;BARRA DO JACUIPE;42833000; 03; 08;Interior;Sim;FL JAD SALVADOR;
BA;BARRA DO MENDES;44990000; 05; 09;Interior;Nao;FL JAD SALVADOR;
BA;BARRA DO POJUCA;42825000; 03; 08;Interior;Sim;FL JAD SALVADOR;
BA;BARRA DO ROCHA;45560000; 04; 08;Interior;Nao;CO ITABUNA 01;
BA;BARREIRAS;47800000 a 47809999; 02; 10;Capital;Sim;CO BARREIRAS 01;
BA;BARRO ALTO;44895000; 10; 11;Interior;Nao;FL JAD SALVADOR;
BA;BARRO PRETO;45625000; 03; 07;Interior;Nao;CO ITABUNA 01;
BA;BARROCAS;48705000; 06; 10;Interior;Nao;FL JAD SALVADOR;
BA;BELMONTE;45800000; 06; 10;Interior;Sim;CO EUNAPOLIS 01;
BA;BELO CAMPO;45160000; 09; 13;Interior;Nao;CO VITORIA DA CONQUISTA 01;
BA;BELO CAMPO;44911000; 05; 09;Interior;Nao;CO VITORIA DA CONQUISTA 01;
BA;BIRITINGA;48780000; 05; 09;Interior;Nao;FL JAD SALVADOR;
BA;BOA NOVA;45250000; 11; 15;Interior;Nao;CO GUANAMBI 01;
BA;BOA VISTA DO TUPIM;46850000; 10; 13;Interior;Nao;FL JAD SALVADOR;
BA;BOM JESUS DA LAPA;47600000; 07; 11;Interior;Sim;CO GUANAMBI 01;
BA;BOM JESUS DA SERRA;45263000; 10; 15;Interior;Nao;CO GUANAMBI 01;
BA;BONINAL;46740000; 05; 09;Interior;Nao;FL JAD SALVADOR;
BA;BONITO;46820000; 10; 13;Interior;Nao;FL JAD SALVADOR;
BA;BOQUIRA;46530000; 10; 15;Interior;Nao;CO GUANAMBI 01;
BA;BOTUPORA;46570000; 05; 09;Interior;Nao;CO GUANAMBI 01;
BA;BREJOES;45325000; 10; 15;Interior;Nao;CO GUANAMBI 01;
BA;BREJOLANDIA;47750000; 10; 15;Interior;Nao;CO BARREIRAS 01;
BA;BROTAS DE MACAUBAS;47560000; 10; 15;Interior;Nao;CO GUANAMBI 01;
BA;BRUMADO;46100000; 06; 09;Interior;Sim;CO GUANAMBI 01;
BA;BUERAREMA;45615000; 07; 11;Interior;Nao;CO ITABUNA 01;
BA;BURITIRAMA;47120000; 12; 17;Interior;Nao;CO BARREIRAS 01;
BA;CAATIBA;45130000; 05; 09;Interior;Nao;CO VITORIA DA CONQUISTA 01;
BA;CABACEIRAS DO PARAGUACU;44345000; 03; 07;Interior;Sim;CO CRUZ DAS ALMAS 01;
BA;CABOTO;43846000; 05; 09;Interior;Nao;FL JAD SALVADOR;
BA;CACHOEIRA;44300000; 03; 07;Interior;Sim;CO CRUZ DAS ALMAS 01;
BA;CACULE;46300000; 07; 11;Interior;Nao;CO GUANAMBI 01;
BA;CAEM;44730000; 05; 09;Interior;Nao;FL JAD SALVADOR;
BA;CAETANOS;45265000; 05; 09;Interior;Nao;CO VITORIA DA CONQUISTA 01;
BA;CAETITE;46400000; 05; 08;Interior;Sim;CO GUANAMBI 01;
BA;CAFARNAUM;44880000; 08; 12;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;CAIRU;45420000; 08; 12;Interior;Nao;FL JAD SALVADOR;
BA;CALDEIRAO GRANDE;44750000; 09; 13;Interior;Nao;FL JAD SALVADOR;
BA;CAMACAN;45880000; 09; 13;Interior;Nao;FL JAD SALVADOR;
BA;CAMACARI;42810902 a 42819999; 02; 08;Capital;Sim;CO CAMACARI 01;
BA;CAMACARI;42800001 a 42809999; 02; 08;Capital;Sim;CO CAMACARI 01;
BA;CAMACARI;42810001 a 42810901; 02; 08;Capital;Sim;CO CAMACARI 01;
BA;CAMAMU;45445000; 10; 15;Interior;Nao;CO GUANAMBI 01;
BA;CAMPO ALEGRE DE LOURDES;47220000; 09; 15;Interior;Nao;CO PETROLINA 01;
BA;CAMPO FORMOSO;44790000; 09; 13;Interior;Nao;FL JAD SALVADOR;
BA;CANAPOLIS;47730000; 08; 12;Interior;Nao;CO BARREIRAS 01;
BA;CANARANA;44890000; 09; 13;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;CANAVIEIRAS;45860000; 09; 13;Interior;Nao;CO ITABUNA 01;
BA;CANDEAL;48710000; 05; 09;Interior;Nao;FL JAD SALVADOR;
BA;CANDEIAS;43800001 a 43839999; 05; 08;Interior;Sim;CO LAURO DE FREITAS 01;
BA;CANDIBA;46380000; 05; 08;Interior;Sim;CO GUANAMBI 01;
BA;CANDIDO SALES;45157000; 05; 09;Interior;Nao;CO VITORIA DA CONQUISTA 01;
BA;CANSANCAO;48840000; 05; 09;Interior;Nao;FL JAD SALVADOR;
BA;CANUDOS;48520000; 06; 09;Interior;Nao;FL JAD SALVADOR;
BA;CAPELA DO ALTO ALEGRE;44645000; 05; 09;Interior;Nao;FL JAD SALVADOR;
BA;CAPIM GROSSO;44695000; 08; 12;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;CARAIBAS;45177000; 09; 13;Interior;Nao;CO VITORIA DA CONQUISTA 01;
BA;CARAIVA;45819000; 05; 11;Interior;Sim;CO TEIXEIRA DE FREITAS 01;
BA;CARAVELAS;45900000; 04; 09;Interior;Sim;CO TEIXEIRA DE FREITAS 01;
BA;CARDEAL DA SILVA;48390000; 05; 09;Interior;Nao;FL JAD SALVADOR;
BA;CARINHANHA;46445000; 05; 08;Interior;Sim;CO GUANAMBI 01;
BA;CAROBA;43841000; 05; 09;Interior;Nao;FL JAD SALVADOR;
BA;CASA NOVA;47300000; 09; 13;Interior;Nao;FL JAD SALVADOR;
BA;CASTRO ALVES;44500000; 05; 09;Interior;Nao;CO CRUZ DAS ALMAS 01;
BA;CATOLANDIA;47815000; 06; 12;Interior;Nao;CO BARREIRAS 01;
