uf;localidade;CEP;expr.;rodo;tarifa;frap;distribuidor;redespacho
MG;PRESIDENTE JUSCELINO;35797000; 05; 06;Interior;Nao;CO CURVELO 01;
MG;PRESIDENTE KUBITSCHEK;39135000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;PRESIDENTE OLEGARIO;38750000; 03; 04;Interior;Sim;CO PATOS DE MINAS 01;
MG;PRUDENTE DE MORAIS;35715000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;QUARTEL GERAL;35625000; 04; 05;Interior;Sim;CO DIVINOPOLIS 02;
MG;QUATITUBA;35222000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;QUELUZITO;36424000; 04; 05;Interior;Nao;CO CONSELHEIRO LAFAIETE 01;
MG;RAPOSOS;34400000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;RAUL SOARES;35350000; 03; 04;Interior;Sim;CO IPATINGA 01;
MG;REALEZA;36905000; 03; 05;Interior;Nao;CO MANHUACU 01;
MG;RECREIO;36740000; 09; 10;Interior;Nao;CO CATAGUASES 01;
MG;REDUTO;36920000; 03; 04;Interior;Sim;CO MANHUACU 01;
MG;RESENDE COSTA;36340000; 03; 04;Interior;Sim;CO BARBACENA 01;
MG;RESPLENDOR;35230000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;RESSAQUINHA;36270000; 03; 04;Interior;Sim;CO BARBACENA 01;
MG;RIACHINHO;38640000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;RIACHO DOS MACHADOS;39529000; 05; 06;Interior;Nao;CO MONTES CLAROS 01;
MG;RIBEIRAO DAS NEVES;33800001 a 33979999; 03; 04;Capital;Sim;FL JAD BELO HORIZONTE;
MG;RIBEIRAO DE SAO DOMINGOS;36915000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;RIBEIRAO VERMELHO;37264000; 02; 03;Capital;Sim;CO LAVRAS 01;
MG;RIO ACIMA;34300000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;RIO CASCA;35370000; 03; 04;Interior;Sim;CO IPATINGA 01;
MG;RIO DO PRADO;39940000; 07; 10;Interior;Nao;FL JAD BELO HORIZONTE;
MG;RIO DOCE;35442000; 04; 05;Interior;Nao;CO PONTE NOVA 01;
MG;RIO ESPERA;36460000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;RIO MANSO;35525000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;RIO NOVO;36150000; 03; 04;Interior;Nao;CO SAO JOAO NEPOMUCENO 01;
MG;RIO PARANAIBA;38810000; 02; 03;Interior;Sim;CO SAO GOTARDO 01;
MG;RIO PARDO DE MINAS;39530000; 06; 07;Interior;Sim;CO MONTES CLAROS 01;
MG;RIO PIRACICABA;35940000; 04; 05;Interior;Sim;CO JOAO MONLEVADE 01;
MG;RIO POMBA;36180000; 04; 05;Interior;Nao;CO UBA 01;
MG;RIO PRETO;36130000; 02; 03;Interior;Nao;CO BARRA DO PIRAI 01;
MG;RIO VERMELHO;39170000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;RITAPOLIS;36335000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;ROCHEDO DE MINAS;36604000; 03; 04;Interior;Sim;CO SAO JOAO NEPOMUCENO 01;
MG;RODEIRO;36510000; 04; 05;Interior;Sim;CO UBA 01;
MG;ROMARIA;38520000; 04; 05;Interior;Sim;CO PATOS DE MINAS 01;
MG;ROSARIO DA LIMEIRA;36878000; 05; 06;Interior;Sim;CO MURIAE 02;
MG;RUBELITA;39565000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;RUBIM;39950000; 07; 10;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SABARA;34500001 a 34739999; 03; 04;Capital;Sim;CO SANTA LUZIA 01;
MG;SABINOPOLIS;39750000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SACRAMENTO;38190000; 03; 04;Interior;Sim;CO UBERABA 01;
